OK everything is done now!
-------------------------------------------
Training time: 0.0 hour 10.0 min 20 sec 454 msec
Best Policy:
     PkgProb  TruckPkgQuantiles  WarehousePkgQuantiles  NumVisits   Policy
0       0.05                  0                      0      50105     Wait
1       0.05                  0                      1          0        ?
2       0.05                  0                      2          0        ?
3       0.05                  0                      3          0        ?
4       0.05                  0                      4          0        ?
5       0.05                  0                      5          0        ?
6       0.05                  1                      0      14202  Deliver
7       0.05                  1                      1          0        ?
8       0.05                  1                      2          0        ?
9       0.05                  1                      3          0        ?
10      0.05                  1                      4          0        ?
11      0.05                  1                      5          0        ?
12      0.05                  2                      0         11  Deliver
13      0.05                  2                      1          0        ?
14      0.05                  2                      2          0        ?
15      0.05                  2                      3          0        ?
16      0.05                  2                      4          0        ?
17      0.05                  2                      5          0        ?
18      0.05                  3                      0          0        ?
19      0.05                  3                      1          0        ?
20      0.05                  3                      2          0        ?
21      0.05                  3                      3          0        ?
22      0.05                  3                      4          0        ?
23      0.05                  3                      5          0        ?
24      0.05                  4                      0          0        ?
25      0.05                  4                      1          0        ?
26      0.05                  4                      2          0        ?
27      0.05                  4                      3          0        ?
28      0.05                  4                      4          0        ?
29      0.05                  4                      5          0        ?
30      0.05                  5                      0          0        ?
31      0.05                  5                      1          0        ?
32      0.05                  5                      2          0        ?
33      0.05                  5                      3          0        ?
34      0.05                  5                      4          0        ?
35      0.05                  5                      5          0        ?
36      0.07                  0                      0        193     Wait
37      0.07                  0                      1          0        ?
38      0.07                  0                      2          0        ?
39      0.07                  0                      3          0        ?
40      0.07                  0                      4          0        ?
41      0.07                  0                      5          0        ?
42      0.07                  1                      0       1115  Deliver
43      0.07                  1                      1          0        ?
44      0.07                  1                      2          0        ?
45      0.07                  1                      3          0        ?
46      0.07                  1                      4          0        ?
47      0.07                  1                      5          0        ?
48      0.07                  2                      0          5  Deliver
49      0.07                  2                      1          0        ?
50      0.07                  2                      2          0        ?
51      0.07                  2                      3          0        ?
52      0.07                  2                      4          0        ?
53      0.07                  2                      5          0        ?
54      0.07                  3                      0          0        ?
55      0.07                  3                      1          0        ?
56      0.07                  3                      2          0        ?
57      0.07                  3                      3          0        ?
58      0.07                  3                      4          0        ?
59      0.07                  3                      5          0        ?
60      0.07                  4                      0          0        ?
61      0.07                  4                      1          0        ?
62      0.07                  4                      2          0        ?
63      0.07                  4                      3          0        ?
64      0.07                  4                      4          0        ?
65      0.07                  4                      5          0        ?
66      0.07                  5                      0          0        ?
67      0.07                  5                      1          0        ?
68      0.07                  5                      2          0        ?
69      0.07                  5                      3          0        ?
70      0.07                  5                      4          0        ?
71      0.07                  5                      5          0        ?
72      0.09                  0                      0        215     Wait
73      0.09                  0                      1          0        ?
74      0.09                  0                      2          0        ?
75      0.09                  0                      3          0        ?
76      0.09                  0                      4          0        ?
77      0.09                  0                      5          0        ?
78      0.09                  1                      0        182  Deliver
79      0.09                  1                      1          0        ?
80      0.09                  1                      2          0        ?
81      0.09                  1                      3          0        ?
82      0.09                  1                      4          0        ?
83      0.09                  1                      5          0        ?
84      0.09                  2                      0          1  Deliver
85      0.09                  2                      1          0        ?
86      0.09                  2                      2          0        ?
87      0.09                  2                      3          0        ?
88      0.09                  2                      4          0        ?
89      0.09                  2                      5          0        ?
90      0.09                  3                      0          0        ?
91      0.09                  3                      1          0        ?
92      0.09                  3                      2          0        ?
93      0.09                  3                      3          0        ?
94      0.09                  3                      4          0        ?
95      0.09                  3                      5          0        ?
96      0.09                  4                      0          0        ?
97      0.09                  4                      1          0        ?
98      0.09                  4                      2          0        ?
99      0.09                  4                      3          0        ?
100     0.09                  4                      4          0        ?
101     0.09                  4                      5          0        ?
102     0.09                  5                      0          0        ?
103     0.09                  5                      1          0        ?
104     0.09                  5                      2          0        ?
105     0.09                  5                      3          0        ?
106     0.09                  5                      4          0        ?
107     0.09                  5                      5          0        ?
108     0.11                  0                      0        235     Wait
109     0.11                  0                      1          0        ?
110     0.11                  0                      2          0        ?
111     0.11                  0                      3          0        ?
112     0.11                  0                      4          0        ?
113     0.11                  0                      5          0        ?
114     0.11                  1                      0        105     Wait
115     0.11                  1                      1          0        ?
116     0.11                  1                      2          0        ?
117     0.11                  1                      3          0        ?
118     0.11                  1                      4          0        ?
119     0.11                  1                      5          0        ?
120     0.11                  2                      0          0        ?
121     0.11                  2                      1          0        ?
122     0.11                  2                      2          0        ?
123     0.11                  2                      3          0        ?
124     0.11                  2                      4          0        ?
125     0.11                  2                      5          0        ?
126     0.11                  3                      0          0        ?
127     0.11                  3                      1          0        ?
128     0.11                  3                      2          0        ?
129     0.11                  3                      3          0        ?
130     0.11                  3                      4          0        ?
131     0.11                  3                      5          0        ?
132     0.11                  4                      0          0        ?
133     0.11                  4                      1          0        ?
134     0.11                  4                      2          0        ?
135     0.11                  4                      3          0        ?
136     0.11                  4                      4          0        ?
137     0.11                  4                      5          0        ?
138     0.11                  5                      0          0        ?
139     0.11                  5                      1          0        ?
140     0.11                  5                      2          0        ?
141     0.11                  5                      3          0        ?
142     0.11                  5                      4          0        ?
143     0.11                  5                      5          0        ?
144     0.13                  0                      0        260     Wait
145     0.13                  0                      1          0        ?
146     0.13                  0                      2          0        ?
147     0.13                  0                      3          0        ?
148     0.13                  0                      4          0        ?
149     0.13                  0                      5          0        ?
150     0.13                  1                      0        115     Wait
151     0.13                  1                      1          0        ?
152     0.13                  1                      2          0        ?
153     0.13                  1                      3          0        ?
154     0.13                  1                      4          0        ?
155     0.13                  1                      5          0        ?
156     0.13                  2                      0          0        ?
157     0.13                  2                      1          0        ?
158     0.13                  2                      2          0        ?
159     0.13                  2                      3          0        ?
160     0.13                  2                      4          0        ?
161     0.13                  2                      5          0        ?
162     0.13                  3                      0          0        ?
163     0.13                  3                      1          0        ?
164     0.13                  3                      2          0        ?
165     0.13                  3                      3          0        ?
166     0.13                  3                      4          0        ?
167     0.13                  3                      5          0        ?
168     0.13                  4                      0          0        ?
169     0.13                  4                      1          0        ?
170     0.13                  4                      2          0        ?
171     0.13                  4                      3          0        ?
172     0.13                  4                      4          0        ?
173     0.13                  4                      5          0        ?
